entity,n-revs
walter-client/packages/ai-director/src/pages/ClosedConversationDetails/ChatList/ChatCard.tsx,4
walter-client/packages/ai-director/src/pages/AgentProgression/queries/agent-behaviors.gql.ts,4
walter-server/bin/utils/__init__.py,4
walter-client/src/components/Intercom/cresta-black-logo.svg,4
integrations/event-broker/tests/test_event_broker_api.py,4
walter-client/src/components/Notes/Note.tsx,4
walter-client/packages/ai-director/tsconfig.json,4
db/migrations/migrations/1614222360496_alter_table_app_messages_add_column_updated_at/up.sql,4
walter-client/src/components/Transcript/Transcript.tsx,4
walter-client/tsconfig.json,4
windows/audiograb/audiograb_grabber.cpp,4
walter-client/packages/ai-director/src/pages/IntentsQAPage/IntentsQAPage.tsx,4
walter-client/packages/ai-director/src/components/DefaultChatRedirect/DefaultChatRedirect.tsx,4
walter-client/packages/ai-director/src/pages/AgentProgression/BehaviorHeatMap/agent-progression-all-agents.gql.ts,4
cronjobs/upload-should-do-x-prod.sh,4
walter-client/src/pages/CallflowEditorPage/CallflowDocumentEditor.tsx,4
walter-client/packages/ai-director/src/pages/ConversationDetailRouter.tsx,4
walter-client/packages/ai-director/src/pages/AgentClosedConversations/index.tsx,4
models/actions/hermes_db.py,4
ai-agent/src/index.ts,4
walter-client/packages/ai-director/src/pages/ConversationView/chat-info-live-query.gql.ts,4
walter-client/src/components/Chat/KnowledgeBase/KnowledgeBaseSearch.tsx,4
walter-client/src/components/ElectronTitleBar/ElectronTitleBar.tsx,4
walter-client/packages/ai-director/src/pages/VisualCallFlowEditor/CallFlowsState.tsx,4
walter-client/src/components/Chat/queries/widget-templates-query.gql.ts,4
walter-client/packages/ai-director/src/pages/AgentProgression/HeatMap/HeatMap.tsx,4
bin/make-test-calls.html,4
walter-client/callflows/cresta_1800.html,4
walter-client/src/pages/AgentPerformanceMetrics/AgentPerformanceMetricsContainer.tsx,4
walter-client/packages/ai-director/src/pages/VisualCallFlowEditor/VisualCallFlowEditor.tsx,4
walter-client/packages/ai-director/src/pages/ConversationDetails/ChatList/ChatCard.tsx,3
walter-client/packages/ai-director/src/components/ChatDurationFilter/View.tsx,3
walter-client/public/cresta-black-logo.svg,3
walter-server/tests/test_electron_app_socket.py,3
walter-client/packages/ai-director/src/components/AudioPlayer/BehaviorFooter.tsx,3
walter-client/src/components/DispositionConfirmation/save-call-disposition.gql.ts,3
walter-client/packages/ai-director/src/components/MessageTranscript/chat-messages-query.gql.ts,3
walter-client/src/typings/user-roles.ts,3
walter-client/packages/ai-director/src/pages/IntentsQAPage/SingleIntent.tsx,3
bin/good-intent/text_predict.py,3
windows/electron_app/yarn.lock,3
walter-client/src/tracking/tracker.ts,3
walter-client/callflows/sdr.html,3
windows/recorder_app/package.json,3
walter-server/walter_tornado/api_utils.py,3
walter-client/packages/ai-director/src/pages/ConversationDetails/ChatList/View.tsx,3
walter-client/packages/ai-director/src/pages/ClosedConversationDetails/ChatList/ChatFilterParametersProvider.tsx,3
walter-client/migrations/console.js,3
walter-client/src/UsedWidgetsProvider/UsedWidgetsProvider.tsx,3
windows/recorder_app/src/main.ts,3
walter-client/src/components/Chat/queries/chat-messages-query.gql.ts,3
walter-client/src/components/AudioVolumeMeter/index.tsx,3
walter-client/src/components/Chat/queries/new-chat-messages-subscription.gql.ts,3
walter-client/packages/ai-director/src/pages/AgentClosedConversations/SetAgentFilterToCurrentAgent.tsx,3
walter-client/packages/ai-director/src/pages/ClosedConversationDetails/ChatList/ChatList.tsx,3
models/actions/redis_client.py,3
walter-client/packages/ai-director/src/pages/VisualCallFlowEditor/insert-callflow-mutation.gql.ts,3
walter-client/src/util/optimizely-featured-enabled.ts,3
windows/recorder_app/public/index.html,3
windows/electron_app/configuration/earthlink.json,3
walter-client/src/components/UserSettings/Provider.tsx,3
